"","Med_Risk_25_SI_R","Med_Risk_50_ModI_R","Med_Ambig_24_ModI_R","Med_Ambig_74_ModI_R","Med_Risk_75_MajI_R","Med_Ambig_50_MajI_R","Med_Ambig_100_MajI_G","Med_Risk_75_R_R","Med_Ambig_50_SI_B","Med_Risk_50_ModI_B","Med_Ambig_50_MajI_B","Med_Ambig_100_MajI_G.1","Med_Risk_25_R_B","Med_Ambig_100_SI_G","Med_Risk_25_MajI_R","Med_Ambig_24_MajI_R","Med_Risk_25_R_R","Med_Risk_50_SI_B","Med_Risk_75_ModI_B","Med_Ambig_24_ModI_B","Med_Risk_50_MajI_B","Med_Risk_75_R_B","Med_Ambig_50_R_B","Med_Ambig_76_R_B","Med_Ambig_76_SI_R","Med_Risk_25_ModI_R","Med_Ambig_50_ModI_R","Med_Ambig_100_ModI_G","Med_Risk_50_MajI_R","Med_Risk_50_R_R","Med_Ambig_50_R_R","Med_Ambig_76_R_R","Med_Ambig_50_ModI_B","Med_Risk_25_MajI_B","Med_Risk_75_MajI_B","Med_Ambig_24_MI_B","Med_Ambig_74_MajI_B","Med_Ambig_100_R_G","Med_Risk_75_SI_R","Med_Risk_75_ModI_R","Med_Ambig_74_MajI_R","Med_Ambig_24_R_R","Med_Ambig_100_R_G.1","Med_Ambig_24_SI_B","Med_Risk_25_ModI_B","Med_Ambig_74_ModI_B","Med_Ambig_100_ModI_G.1","Med_Risk_50_R_B","Med_Ambig_24_R_R.1"
"8","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1","0","1","1","0","1","0","0","1","0","1","0","0","0","0","0","1","0","0","1","1","1","1","0","0","0","0","0","0","1","1","1","0","0","0","1","1","0","0","0","1","0","1","0","0","0","0","0","1","0"
"3","0","0","1","0","1","1","0","1","0","0","0","0","0","0","0","1","0","0","1","1","1","1","1","0","0","0","1","0","1","1","1","0","0","0","1","1","0","0","0","1","0","1","0","0","0","0","0","1","1"
"2","0","1","0","0","0","0","0","1","0","1","0","0","0","0","0","1","0","0","1","0","1","1","0","0","0","1","0","0","1","1","0","0","0","1","1","0","0","0","1","1","0","0","0","0","0","0","0","0","1"
"5","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"4","1","1","1","1","0","1","0","0","1","1","1","1","0","1","0","0","0","0","1","1","1","1","0","1","0","1","0","0","1","1","1","1","1","0","1","0","0","1","0","1","1","1","0","0","0","1","1","0","1"
"6","0","1","0","0","1","0","1","0","0","0","1","0","1","1","1","1","0","1","1","0","0","1","0","0","0","1","1","0","0","0","1","0","1","1","1","1","1","1","0","1","0","1","0","1","1","0","0","0","0"
"7","0","1","0","0","1","0","0","1","0","1","0","0","0","0","0","0","0","0","1","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0"
"9","0","0","1","1","1","1","0","1","0","0","1","0","0","0","0","1","0","0","1","0","0","1","1","1","1","0","1","0","0","0","1","1","1","0","1","1","1","0","0","1","1","1","0","0","0","1","0","0","1"
"10","0","0","1","0","1","0","0","1","0","0","0","0","0","0","0","1","0","0","1","0","1","1","1","0","0","0","0","0","1","1","0","0","0","0","1","1","0","0","0","0","0","1","1","0","0","0","0","1","0"
"13","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"17","0","0","1","1","1","1","1","1","0","1","1","1","1","0","1","1","0","0","1","1","1","1","1","1","0","0","0","1","1","1","1","1","1","0","1","1","0","1","0","1","1","1","1","0","1","0","0","1","1"
"27","0","1","1","1","1","1","1","1","0","1","1","1","1","0","1","1","1","0","1","1","1","1","1","1","0","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1","1","1","0","1","1","1","1","1"
